Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2017-03-01,,,,22,9,,,,,,,,,,,
Lower Granite,2017-03-02,,,,68,28,,,,,,,,,,,
Lower Granite,2017-03-03,,,,50,17,,,,,,,,,,,
Lower Granite,2017-03-04,,,,71,27,,,,,,,,,,,
Lower Granite,2017-03-05,,,,191,72,,,,,,,,,,,
Lower Granite,2017-03-06,,,,100,38,,,,,,,,,,,
Lower Granite,2017-03-07,,,,139,48,,,,,,,,,,,
Lower Granite,2017-03-08,,,,101,40,,,,,,,,,,,
Lower Granite,2017-03-09,,,,137,53,,,,,,,,,,,
Lower Granite,2017-03-10,,,,186,66,,,,,,,,,,,
Lower Granite,2017-03-11,,,,48,15,,,,,,,,,,,
Lower Granite,2017-03-12,,,,31,15,,,,,,,,,,,
Lower Granite,2017-03-13,,,,207,75,,,,,,,,,,,5.5
Lower Granite,2017-03-14,,,,179,48,,,,,,,,,,,5.9
Lower Granite,2017-03-15,,,,328,114,,,,,,,,,,,6.2
Lower Granite,2017-03-16,,,,177,59,,,,,,,,,,,6.3
Lower Granite,2017-03-17,Sp,,,73,27,,,,,,,,,,,6.2
Lower Granite,2017-03-18,Sp,,,144,43,,,,,,,,,,,6.2
Lower Granite,2017-03-19,Sp,,,283,88,,,,,,,,,,,6.8
Lower Granite,2017-03-20,Sp,,,83,33,,,,,,,,,,,7
Lower Granite,2017-03-21,Sp,,,206,71,,,,,,,,,,,7
Lower Granite,2017-03-22,Sp,,,269,76,,,,,,,,,,,7.3
Lower Granite,2017-03-23,Sp,,,247,74,,,,,,,,,,,7.7
Lower Granite,2017-03-24,Sp,,,284,106,,,,,,,,,,,7.9
Lower Granite,2017-03-25,Sp,,,272,111,,,,,,,,,,,7.8
Lower Granite,2017-03-26,Sp,,,238,94,,,,,,,,,,,7.9
Lower Granite,2017-03-27,Sp,,,221,84,,,,,,,,,,,7.9
Lower Granite,2017-03-28,Sp,,,214,94,,,,,,,,,,,8.1
Lower Granite,2017-03-29,Sp,,,283,114,,,,,,,,,,,8.1
Lower Granite,2017-03-30,Sp,,,267,133,,,,,,,,,,,8.1
Lower Granite,2017-03-31,Sp,,,275,143,,,,,,,,,,,8.2
Lower Granite,2017-04-01,Sp,,,160,86,,,,,,,,,,,8.1
Lower Granite,2017-04-02,Sp,,,205,95,,,,,,,,,,,8.1
Lower Granite,2017-04-03,Sp,,,144,61,,,,,,,,,,,8.1
Lower Granite,2017-04-04,Sp,,,113,59,,,,,,,,,,,8.3
Lower Granite,2017-04-05,Sp,1,,88,41,,,,,,,,,,,8.3
Lower Granite,2017-04-06,Sp,,,105,53,,,,,,,,,,,8.4
Lower Granite,2017-04-07,Sp,,,90,55,,,,,,,,,,,8.7
Lower Granite,2017-04-08,Sp,,,62,36,,,,,,,,,,,8.6
Lower Granite,2017-04-09,Sp,,,55,24,,,,,,,,,,,8.5
Lower Granite,2017-04-10,Sp,,,72,43,,,,,,,,,,,8.4
Lower Granite,2017-04-11,Sp,,,57,31,,,,,,,,,,,8.6
Lower Granite,2017-04-12,Sp,,,56,25,,,,,,,,,,,8.5
Lower Granite,2017-04-13,Sp,,,58,38,,,,,,,,,,,8.6
Lower Granite,2017-04-14,Sp,,,60,36,,,,,,,,,,,8.8
Lower Granite,2017-04-15,Sp,,,47,25,,,,,,,,,,,8.8
Lower Granite,2017-04-16,Sp,,,39,26,,,,,,,,,,,8.9
Lower Granite,2017-04-17,Sp,1,,43,26,,,,,,,,,,,9.5
Lower Granite,2017-04-18,Sp,,,19,12,,,,,,,,,,,9.6
Lower Granite,2017-04-19,Sp,,,28,23,,,,,,,,,,,9.7
Lower Granite,2017-04-20,Sp,2,,27,22,,,,,,,,,,,9.9
Lower Granite,2017-04-21,Sp,,,33,13,,,,,,,,,,,10.2
Lower Granite,2017-04-22,Sp,1,,24,13,,,,,,,,,,,10.3
Lower Granite,2017-04-23,Sp,,,30,17,,,,,,,,,,,10.5
Lower Granite,2017-04-24,Sp,,,19,13,,,,,,,,,,,10.6
Lower Granite,2017-04-25,Sp,5,,25,17,,,,,,,,,,,10.7
Lower Granite,2017-04-26,Sp,4,,20,10,,,,,,,,,,,10.9
Lower Granite,2017-04-27,Sp,4,,16,12,,,,,,,,,,,10.8
Lower Granite,2017-04-28,Sp,8,,19,11,,,,,,,,,,,10.6
Lower Granite,2017-04-29,Sp,13,,15,7,,,,,,,,,,,10.5
Lower Granite,2017-04-30,Sp,10,,18,8,,,,,,,,,,,10.5
Lower Granite,2017-05-01,Sp,1,,15,11,,,,,,,,,,,10.7
Lower Granite,2017-05-02,Sp,8,,10,5,,,,,,,,,,,11.3
Lower Granite,2017-05-03,Sp,5,,13,5,,,,,,,,,,,11.3
Lower Granite,2017-05-04,Sp,5,,9,5,,,,,,,,,,,11.6
Lower Granite,2017-05-05,Sp,6,,15,1,,,,,,,,,,,12.1
Lower Granite,2017-05-06,Sp,6,,13,5,,,,,,,,,,,12.7
Lower Granite,2017-05-07,Sp,7,1,10,4,,,,,,,,,,,12
Lower Granite,2017-05-08,Sp,5,1,2,2,,,,,,,,,,,11
Lower Granite,2017-05-09,Sp,7,,6,5,,,,,,,,,,,10.8
Lower Granite,2017-05-10,Sp,5,,5,4,,,,,,,,,,,11
Lower Granite,2017-05-11,Sp,14,,5,4,,,,,,,,,,,11.7
Lower Granite,2017-05-12,Sp,20,2,4,4,,,,,,,,,,,12.2
Lower Granite,2017-05-13,Sp,18,1,4,4,,,,,,,,,,,11.7
Lower Granite,2017-05-14,Sp,35,2,5,5,,,,,,,,,,,10.7
Lower Granite,2017-05-15,Sp,43,4,1,1,,,,,,,,,,,10.5
Lower Granite,2017-05-16,Sp,62,5,2,2,,,,,,,,,,,10.7
Lower Granite,2017-05-17,Sp,72,8,3,2,,,,,,,,,,,10.9
Lower Granite,2017-05-18,Sp,104,8,6,6,,,,,,,,,,,10.8
Lower Granite,2017-05-19,Sp,452,43,2,1,,,,,,,,,,,10.7
Lower Granite,2017-05-20,Sp,1183,58,4,2,,,,,,,,,,,11.3
