Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2022-03-01,,,,11,2,,,,,,,,,,,
Lower Granite,2022-03-02,,,,17,3,,,,,,,,,,,
Lower Granite,2022-03-03,,,,8,2,,,,,,,,,,,
Lower Granite,2022-03-04,,,,13,3,,,,,,,,,,,
Lower Granite,2022-03-05,,,,40,14,,,,,,,,,,,
Lower Granite,2022-03-06,,,,11,,,,,,,,,,,,
Lower Granite,2022-03-07,,,,1,,,,,,,,,,,,
Lower Granite,2022-03-08,,,,22,5,,,,,,,,,,,
Lower Granite,2022-03-09,,,,31,1,,,,,,,,,,,
Lower Granite,2022-03-10,,,,33,2,,,,,,,,,,,
Lower Granite,2022-03-11,,,,45,6,,,,,,,,,,,
Lower Granite,2022-03-12,,,,54,21,,,,,,,,,,,
Lower Granite,2022-03-13,,,,55,11,,,,,,,,,,,
Lower Granite,2022-03-14,,,,41,6,,,,,,,,,,,
Lower Granite,2022-03-15,,,,31,7,,,,,,,,,,,
Lower Granite,2022-03-16,,,,57,8,,,,,,,,,,,
Lower Granite,2022-03-17,Sp,,,45,5,,,,,,,,,,,
Lower Granite,2022-03-18,Sp,,,84,32,,,,,,,,,,,
Lower Granite,2022-03-19,Sp,,,53,15,,,,,,,,,,,
Lower Granite,2022-03-20,Sp,,,52,3,,,,,,,,,,,
Lower Granite,2022-03-21,Sp,,,54,6,,,,,,,,,,,6.2
Lower Granite,2022-03-22,Sp,,,37,1,,,,,,,,,,,6.3
Lower Granite,2022-03-23,Sp,,,53,8,,,,,,,,,,,6.5
Lower Granite,2022-03-24,Sp,,,66,25,,,,,,,,,,,6.6
Lower Granite,2022-03-25,Sp,,,42,12,,,,,,,,,,,6.7
Lower Granite,2022-03-26,Sp,,,40,17,,,,,,,,,,,7
Lower Granite,2022-03-27,Sp,,,47,18,,,,,,,,,,,7.8
Lower Granite,2022-03-28,Sp,,,52,16,,,,,,,,,,,8.2
Lower Granite,2022-03-29,Sp,,,41,11,,,,,,,,,,,8.1
