Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2026-03-01,,,,38,9,,,,,,,,,,,
Lower Granite,2026-03-02,,,,6,-4,,,,,,,,,,,
Lower Granite,2026-03-03,,,,4,,,,,,,,,,,,
Lower Granite,2026-03-04,,,,4,-3,,,,,,,,,,,
Lower Granite,2026-03-05,,,,19,2,,,,,,,,,,,
Lower Granite,2026-03-06,,,,41,3,,,,,,,,,,,
Lower Granite,2026-03-07,,,,54,19,,,,,,,,,,,
Lower Granite,2026-03-08,,,,79,16,,,,,,,,,,,
Lower Granite,2026-03-09,,,,45,2,,,,,,,,,,,
Lower Granite,2026-03-10,,,,7,,,,,,,,,,,,
Lower Granite,2026-03-11,,,,18,2,,,,,,,,,,,
Lower Granite,2026-03-12,,,,35,8,,,,,,,,,,,
Lower Granite,2026-03-13,,,,35,16,,,,,,,,,,,
Lower Granite,2026-03-14,,,,28,14,,,,,,,,,,,
Lower Granite,2026-03-15,,,,10,7,,,,,,,,,,,
Lower Granite,2026-03-16,,,,,,,,,,,,,,,,
Lower Granite,2026-03-17,Sp,,,1,,,,,,,,,,,,5.9
Lower Granite,2026-03-18,Sp,,,,,,,,,,,,,,,6.1
Lower Granite,2026-03-19,Sp,,,-2,-2,,,,,,,,,,,6.4
Lower Granite,2026-03-20,Sp,,,33,32,,,,,,,,,,,6.7
Lower Granite,2026-03-21,Sp,,,13,10,,,,,,,,,,,7.1
Lower Granite,2026-03-22,Sp,,,28,16,,,,,,,,,,,8
Lower Granite,2026-03-23,Sp,,,27,9,,,,,,,,,,,8.6
Lower Granite,2026-03-24,Sp,1,,25,12,,,,,,,,,,,8.6
Lower Granite,2026-03-25,Sp,,,25,13,,,,,,,,,,,8.2
Lower Granite,2026-03-26,Sp,,,25,15,,,,,,,,,,,8
Lower Granite,2026-03-27,Sp,,,29,21,,,,,,,,,,,8.1
Lower Granite,2026-03-28,Sp,,,32,22,,,,,,,,,,,8.2
Lower Granite,2026-03-29,Sp,,,16,9,,,,,,,,,,,8.1
Lower Granite,2026-03-30,Sp,,,22,10,,,,,,,,,,,7.9
Lower Granite,2026-03-31,Sp,,,16,11,,,,,,,,,,,7.8
Lower Granite,2026-04-01,Sp,,,18,14,,,,,,,,,,,7.7
Lower Granite,2026-04-02,Sp,,,15,12,,,,,,,,,,,7.8
Lower Granite,2026-04-03,Sp,,,12,10,,,,,,,,,,,7.6
Lower Granite,2026-04-04,Sp,,,18,15,,,,,,,,,,,8
Lower Granite,2026-04-05,Sp,,,17,12,,,,,,,,,,,8.4
Lower Granite,2026-04-06,Sp,,,9,7,,,,,,,,,,,8.7
Lower Granite,2026-04-07,Sp,1,,14,11,,,,,,,,,,,9
Lower Granite,2026-04-08,Sp,,,15,10,,,,,,,,,,,9.4
Lower Granite,2026-04-09,Sp,,,19,15,,,,,,,,,,,9.8
Lower Granite,2026-04-10,Sp,,,14,13,,,,,,,,,,,10.1
