Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2021-03-01,,,,27,17,,,,,,,,,,,
Lower Granite,2021-03-02,,,,41,25,,,,,,,,,,,
Lower Granite,2021-03-03,,,,39,22,,,,,,,,,,,
Lower Granite,2021-03-04,,,,9,6,,,,,,,,,,,
Lower Granite,2021-03-05,,,,23,17,,,,,,,,,,,
Lower Granite,2021-03-06,,,,51,28,,,,,,,,,,,
Lower Granite,2021-03-07,,,,80,43,,,,,,,,,,,
Lower Granite,2021-03-08,,,,65,29,,,,,,,,,,,
Lower Granite,2021-03-09,,,,38,18,,,,,,,,,,,
Lower Granite,2021-03-10,,,,71,36,,,,,,,,,,,
Lower Granite,2021-03-11,,,,43,24,,,,,,,,,,,
Lower Granite,2021-03-12,,,,41,18,,,,,,,,,,,
Lower Granite,2021-03-13,,,,77,38,,,,,,,,,,,
Lower Granite,2021-03-14,,,,70,33,,,,,,,,,,,
Lower Granite,2021-03-15,,,,36,16,,,,,,,,,,,
Lower Granite,2021-03-16,,,,27,12,,,,,,,,,,,
Lower Granite,2021-03-17,Sp,,,43,22,,,,,,,,,,,
Lower Granite,2021-03-18,Sp,,,28,19,,,,,,,,,,,
Lower Granite,2021-03-19,Sp,,,78,40,,,,,,,,,,,
Lower Granite,2021-03-20,Sp,,,82,46,,,,,,,,,,,
Lower Granite,2021-03-21,Sp,,,107,57,,,,,,,,,,,
Lower Granite,2021-03-22,Sp,,,62,35,,,,,,,,,,,
Lower Granite,2021-03-23,Sp,,,63,32,,,,,,,,,,,
Lower Granite,2021-03-24,Sp,,,59,33,,,,,,,,,,,
Lower Granite,2021-03-25,Sp,,,48,30,,,,,,,,,,,
Lower Granite,2021-03-26,Sp,,,47,24,,,,,,,,,,,
Lower Granite,2021-03-27,Sp,,,76,42,,,,,,,,,,,
Lower Granite,2021-03-28,Sp,,,73,40,,,,,,,,,,,
Lower Granite,2021-03-29,Sp,,,58,32,,,,,,,,,,,
Lower Granite,2021-03-30,Sp,,,32,17,,,,,,,,,,,
