Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2024-03-01,,,,42,24,,,,,,,,,,,
Lower Granite,2024-03-02,,,,75,21,,,,,,,,,,,
Lower Granite,2024-03-03,,,,34,9,,,,,,,,,,,
Lower Granite,2024-03-04,,,,36,12,,,,,,,,,,,
Lower Granite,2024-03-05,,,,29,15,,,,,,,,,,,
Lower Granite,2024-03-06,,,,31,13,,,,,,,,,,,
Lower Granite,2024-03-07,,,,30,14,,,,,,,,,,,
Lower Granite,2024-03-08,,,,32,13,,,,,,,,,,,
Lower Granite,2024-03-09,,,,37,20,,,,,,,,,,,
Lower Granite,2024-03-10,,,,32,18,,,,,,,,,,,
Lower Granite,2024-03-11,,,,20,9,,,,,,,,,,,5.6
Lower Granite,2024-03-12,,,,26,14,,,,,,,,,,,5.8
Lower Granite,2024-03-13,,,,29,17,,,,,,,,,,,5.8
Lower Granite,2024-03-14,,,,34,17,,,,,,,,,,,5.9
Lower Granite,2024-03-15,,,,20,5,,,,,,,,,,,6.1
Lower Granite,2024-03-16,,,,20,12,,,,,,,,,,,6.2
Lower Granite,2024-03-17,Sp,,,29,16,,,,,,,,,,,6.7
Lower Granite,2024-03-18,Sp,,,26,13,,,,,,,,,,,7
Lower Granite,2024-03-19,Sp,,,40,21,,,,,,,,,,,7.2
Lower Granite,2024-03-20,Sp,,,53,25,,,,,,,,,,,7.4
Lower Granite,2024-03-21,Sp,,,34,21,,,,,,,,,,,7.6
Lower Granite,2024-03-22,Sp,,,37,18,,,,,,,,,,,8.4
Lower Granite,2024-03-23,Sp,,,38,16,,,,,,,,,,,8.7
Lower Granite,2024-03-24,Sp,,,30,15,,,,,,,,,,,8.9
Lower Granite,2024-03-25,Sp,,,40,17,,,,,,,,,,,8.8
Lower Granite,2024-03-26,Sp,,,46,18,,,,,,,,,,,8.5
Lower Granite,2024-03-27,Sp,,,33,18,,,,,,,,,,,8.4
Lower Granite,2024-03-28,Sp,,,28,13,,,,,,,,,,,8.1
Lower Granite,2024-03-29,Sp,,,28,11,,,,,,,,,,,8
Lower Granite,2024-03-30,Sp,,,27,14,,,,,,,,,,,8
Lower Granite,2024-03-31,Sp,,,23,9,,,,,,,,,,,7.9
Lower Granite,2024-04-01,Sp,,,41,25,,,,,,,,,,,8.2
Lower Granite,2024-04-02,Sp,,,16,11,,,,,,,,,,,8.7
Lower Granite,2024-04-03,Sp,,,20,12,,,,,,,,,,,8.7
Lower Granite,2024-04-04,Sp,,,27,19,,,,,,,,,,,9
Lower Granite,2024-04-05,Sp,,,35,24,,,,,,,,,,,9.1
Lower Granite,2024-04-06,Sp,,,27,21,,,,,,,,,,,9.6
Lower Granite,2024-04-07,Sp,,,13,12,,,,,,,,,,,9.2
Lower Granite,2024-04-08,Sp,,,7,3,,,,,,,,,,,8.6
Lower Granite,2024-04-09,Sp,1,,16,13,,,,,,,,,,,8.4
Lower Granite,2024-04-10,Sp,2,,15,11,,,,,,,,,,,8.6
Lower Granite,2024-04-11,Sp,1,,26,17,,,,,,,,,,,9.2
Lower Granite,2024-04-12,Sp,1,,22,10,,,,,,,,,,,9.7
Lower Granite,2024-04-13,Sp,2,,16,10,,,,,,,,,,,10.1
Lower Granite,2024-04-14,Sp,1,,18,13,,,,,,,,,,,10.4
Lower Granite,2024-04-15,Sp,2,,25,17,,,,,,,,,,,11.2
Lower Granite,2024-04-16,Sp,1,,15,12,,,,,,,,,,,11.8
Lower Granite,2024-04-17,Sp,1,,5,4,,,,,,,,,,,11.4
Lower Granite,2024-04-18,Sp,4,,9,4,,,,,,,,,,,10.5
Lower Granite,2024-04-19,Sp,4,,13,11,,,,,,,,,,,10
Lower Granite,2024-04-20,Sp,3,1,13,12,,,,,,,,,,,9.7
Lower Granite,2024-04-21,Sp,6,,18,16,,,,,,,,,,,9.7
Lower Granite,2024-04-22,Sp,9,,13,11,,,,,,,,,,,9.9
Lower Granite,2024-04-23,Sp,8,1,7,6,,,,,,,,,,,10.5
Lower Granite,2024-04-24,Sp,3,,8,7,,,,,,,,,,,10.9
Lower Granite,2024-04-25,Sp,11,,14,13,,,,,,,,,,,11
Lower Granite,2024-04-26,Sp,12,,9,7,,,,,,,,,,,11.3
Lower Granite,2024-04-27,Sp,6,1,5,4,,,,,,,,,,,11.8
Lower Granite,2024-04-28,Sp,21,1,8,5,,,,,,,,,,,12
Lower Granite,2024-04-29,Sp,8,4,9,8,,,,,,,,,,,11.9
Lower Granite,2024-04-30,Sp,31,,4,4,,,,,,,,,,,11.5
Lower Granite,2024-05-01,Sp,56,1,8,5,,,,,,,,,,,11.3
Lower Granite,2024-05-02,Sp,98,4,8,7,,,,,,,,,,,11
Lower Granite,2024-05-03,Sp,139,4,9,5,,,,,,,,,,,10.9
Lower Granite,2024-05-04,Sp,227,25,4,3,,,,,,,,,,,10.7
Lower Granite,2024-05-05,Sp,248,10,7,4,,,,,,,,,,,10.8
Lower Granite,2024-05-06,Sp,258,11,5,5,,,,,,,,,,,11.2
Lower Granite,2024-05-07,Sp,373,25,8,5,,,,,,,,,,,11.2
Lower Granite,2024-05-08,Sp,284,16,9,7,,,,,,,,,,,11.4
Lower Granite,2024-05-09,Sp,426,32,7,6,,,,,,,,,,,11.7
Lower Granite,2024-05-10,Sp,1032,41,2,2,,,,,,,,,,,11.7
Lower Granite,2024-05-11,Sp,206,18,4,4,,,,,,,,,,,11.8
Lower Granite,2024-05-12,Sp,581,42,5,3,,,,,,,,,,,12.5
Lower Granite,2024-05-13,Sp,1588,61,5,3,,,,,,,,,,,13.4
Lower Granite,2024-05-14,Sp,2507,91,6,4,,,,,,,,,,,14.1
Lower Granite,2024-05-15,Sp,2919,124,4,3,,,,,,,,,,,14.1
Lower Granite,2024-05-16,Sp,2683,138,7,6,,,,,,,,,,,13.8
Lower Granite,2024-05-17,Sp,3127,261,3,2,,,,,,,,,,,13.2
Lower Granite,2024-05-18,Sp,3367,401,,,,,,,,,,,,,13.1
Lower Granite,2024-05-19,Sp,3248,378,1,1,,,,,,,,,,,12.7
Lower Granite,2024-05-20,Sp,3027,423,,,,,,,,,,,,,12.4
Lower Granite,2024-05-21,Sp,2283,362,1,1,,,,,,,,,,,12
Lower Granite,2024-05-22,Sp,1606,311,,,,,,,,,,,,,12
Lower Granite,2024-05-23,Sp,935,205,2,2,,,,,,,,,,,11.9
Lower Granite,2024-05-24,Sp,1016,256,,,,,,,,,,,,,11.7
Lower Granite,2024-05-25,Sp,994,255,,,,,,,,,,,,,11.8
Lower Granite,2024-05-26,Sp,670,203,1,1,,,,,,,,,,,11.6
