Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2019-03-01,,,1,6,,,,,,,,,,,,
Lower Granite,2019-03-02,,,,7,3,,,,,,,,,,,
Lower Granite,2019-03-03,,,,17,4,,,,,,,,,,,
Lower Granite,2019-03-04,,,,6,1,,,,,,,,,,,
Lower Granite,2019-03-05,,,,2,,,,,,,,,,,,
Lower Granite,2019-03-06,,,,1,,,,,,,,,,,,
Lower Granite,2019-03-07,,,,5,,,,,,,,,,,,
Lower Granite,2019-03-08,,,,4,2,,,,,,,,,,,
Lower Granite,2019-03-09,,,,10,4,,,,,,,,,,,
Lower Granite,2019-03-10,,,,26,7,,,,,,,,,,,
Lower Granite,2019-03-11,,,-1,9,2,,,,,,,,,,,
Lower Granite,2019-03-12,,,,14,3,,,,,,,,,,,
Lower Granite,2019-03-13,,,,18,5,,,,,,,,,,,
Lower Granite,2019-03-14,,,,8,2,,,,,,,,,,,
Lower Granite,2019-03-15,,,,35,7,,,,,,,,,,,
Lower Granite,2019-03-16,,,,36,9,,,,,,,,,,,
Lower Granite,2019-03-17,Sp,,,35,11,,,,,,,,,,,
Lower Granite,2019-03-18,Sp,,,16,7,,,,,,,,,,,
Lower Granite,2019-03-19,Sp,,,7,4,,,,,,,,,,,5
Lower Granite,2019-03-20,Sp,,,-6,6,,,,,,,,,,,5.3
Lower Granite,2019-03-21,Sp,,,64,23,,,,,,,,,,,5.6
Lower Granite,2019-03-22,Sp,,,42,17,,,,,,,,,,,6
Lower Granite,2019-03-23,Sp,,,306,104,,,,,,,,,,,6.4
Lower Granite,2019-03-24,Sp,,,216,87,,,,,,,,,,,6.7
Lower Granite,2019-03-25,Sp,,,117,42,,,,,,,,,,,6.8
Lower Granite,2019-03-26,Sp,,,161,49,,,,,,,,,,,7.1
Lower Granite,2019-03-27,Sp,,,77,26,,,,,,,,,,,6.8
Lower Granite,2019-03-28,Sp,,,103,46,,,,,,,,,,,6.7
Lower Granite,2019-03-29,Sp,,,86,26,,,,,,,,,,,7
Lower Granite,2019-03-30,Sp,,,83,32,,,,,,,,,,,6.8
Lower Granite,2019-03-31,Sp,,,96,42,,,,,,,,,,,7
Lower Granite,2019-04-01,Sp,,1,80,38,,,,,,,,,,,7.3
Lower Granite,2019-04-02,Sp,,,94,44,,,,,,,,,,,7.8
Lower Granite,2019-04-03,Sp,,,92,38,,,,,,,,,,,8.1
Lower Granite,2019-04-04,Sp,,,118,46,,,,,,,,,,,8.3
Lower Granite,2019-04-05,Sp,,,74,43,,,,,1,,1,,,,8.7
Lower Granite,2019-04-06,Sp,,,84,30,,,,,,,,,,,8.8
