Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2023-03-01,,,,30,10,,,,,,,,,,,
Lower Granite,2023-03-02,,,,19,6,,,,,,,,,,,
Lower Granite,2023-03-03,,,,17,2,,,,,,,,,,,
Lower Granite,2023-03-04,,,,12,3,,,,,,,,,,,
Lower Granite,2023-03-05,,,,6,2,,,,,,,,,,,
Lower Granite,2023-03-06,,,,6,2,,,,,,,,,,,
Lower Granite,2023-03-07,,,,4,1,,,,,,,,,,,
Lower Granite,2023-03-08,,,,6,2,,,,,,,,,,,
Lower Granite,2023-03-09,,,,4,2,,,,,,,,,,,
Lower Granite,2023-03-10,,,,21,4,,,,,,,,,,,
Lower Granite,2023-03-11,,,,42,8,,,,,,,,,,,
Lower Granite,2023-03-12,,,,61,17,,,,,,,,,,,
Lower Granite,2023-03-13,,,,39,5,,,,,,,,,,,
Lower Granite,2023-03-14,,,,46,9,,,,,,,,,,,
Lower Granite,2023-03-15,,,,25,5,,,,,,,,,,,
Lower Granite,2023-03-16,,,,36,11,,,,,,,,,,,
Lower Granite,2023-03-17,Sp,,,74,21,,,,,,,,,,,
Lower Granite,2023-03-18,Sp,,,110,28,,,,,,,,,,,
Lower Granite,2023-03-19,Sp,-1,,132,47,,,,,,,,,,,
Lower Granite,2023-03-20,Sp,,,74,9,,,,,,,,,,,
Lower Granite,2023-03-21,Sp,,,90,14,,,,,,,,,,,
Lower Granite,2023-03-22,Sp,,,79,23,,,,,,,,,,,
Lower Granite,2023-03-23,Sp,,,40,2,,,,,,,,,,,5.9
Lower Granite,2023-03-24,Sp,,,51,19,,,,,,,,,,,5.9
Lower Granite,2023-03-25,Sp,,,95,41,,,,,,,,,,,6
Lower Granite,2023-03-26,Sp,,,57,27,,,,,,,,,,,6.1
Lower Granite,2023-03-27,Sp,,,60,24,,,,,,,,,,,6.3
Lower Granite,2023-03-28,Sp,,,38,10,,,,,,,,,,,6.6
Lower Granite,2023-03-29,Sp,,,48,10,,,,,,,,,,,6.4
Lower Granite,2023-03-30,Sp,,,50,10,,,,,,,,,,,6.2
Lower Granite,2023-03-31,Sp,1,,56,21,,,,,,,,,,,6
Lower Granite,2023-04-01,Sp,,,37,19,,,,,,,,,,,6
Lower Granite,2023-04-02,Sp,,,54,27,,,,,,,,,,,6.1
Lower Granite,2023-04-03,Sp,,,48,27,,,,,,,,,,,6.2
Lower Granite,2023-04-04,Sp,,,22,12,,,,,,,,,,,6.4
Lower Granite,2023-04-05,Sp,,,64,33,,,,,,,,,,,6.7
Lower Granite,2023-04-06,Sp,,,60,42,,,,,,,,,,,7
Lower Granite,2023-04-07,Sp,,,61,42,,,,,,,,,,,7.1
Lower Granite,2023-04-08,Sp,,,47,31,,,,,,,,,,,6.9
Lower Granite,2023-04-09,Sp,,,25,15,,,,,,,,,,,7
Lower Granite,2023-04-10,Sp,,,29,11,,,,,,,,,,,7.3
Lower Granite,2023-04-11,Sp,,,43,30,,,,,,,,,,,7.4
Lower Granite,2023-04-12,Sp,,,20,12,,,,,,,,,,,8.1
Lower Granite,2023-04-13,Sp,,,44,30,,,,,,,,,,,8.8
Lower Granite,2023-04-14,Sp,,,24,10,,,,,,,,,,,8.7
Lower Granite,2023-04-15,Sp,,,19,5,,,,,,,,,,,7.7
Lower Granite,2023-04-16,Sp,,,25,11,,,,,,,,,,,7.4
Lower Granite,2023-04-17,Sp,,,16,6,,,,,,,,,,,7.5
Lower Granite,2023-04-18,Sp,,,13,6,,,,,,,,,,,7.9
Lower Granite,2023-04-19,Sp,1,,26,19,,,,,,,,,,,8.3
