Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2010-03-01,,,,45,14,,,,,,,,,,,
Lower Granite,2010-03-02,,,,46,17,,,,,,,,,,,
Lower Granite,2010-03-03,,,,62,25,,,,,,,,,,,
Lower Granite,2010-03-04,,,,76,17,,,,,,,,,,,
Lower Granite,2010-03-05,,,,122,34,,,,,,,,,,,
Lower Granite,2010-03-06,,,,55,17,,,,,,,,,,,
Lower Granite,2010-03-07,,,,213,58,,,,,,,,,,,
Lower Granite,2010-03-08,,,,151,30,,,,,,,,,,,
Lower Granite,2010-03-09,,,,98,31,,,,,,,,,,,
Lower Granite,2010-03-10,,,,50,23,,,,,,,,,,,
Lower Granite,2010-03-11,,,,78,24,,,,,,,,,,,
Lower Granite,2010-03-12,,,,69,26,,,,,,,,,,,
Lower Granite,2010-03-13,,,,119,31,,,,,,,,,,,
Lower Granite,2010-03-14,,,,100,32,,,,,,,,,,,
Lower Granite,2010-03-15,,,,83,19,,,,,,,,,,,
Lower Granite,2010-03-16,,,,117,37,,,,,,,,,,,
Lower Granite,2010-03-17,Sp,,,63,26,,,,,,,,,,,6.6
Lower Granite,2010-03-18,Sp,,,199,66,,,,,,,,,,,6.5
Lower Granite,2010-03-19,Sp,,,228,75,,,,,,,,,,,6.5
Lower Granite,2010-03-20,Sp,,,686,174,,,,,,,,,,,7
Lower Granite,2010-03-21,Sp,,,341,95,,,,,,,,,,,7.3
Lower Granite,2010-03-22,Sp,,,326,108,,,,,,,,,,,7.3
Lower Granite,2010-03-23,Sp,,,224,72,,,,,,,,,,,7.6
Lower Granite,2010-03-24,Sp,,,411,130,,,,,,,,,,,8.1
Lower Granite,2010-03-25,Sp,,,345,97,,,,,,,,,,,8
Lower Granite,2010-03-26,Sp,,,358,103,,,,,,,,,,,8
Lower Granite,2010-03-27,Sp,,,333,100,,,,,,,,,,,7.9
Lower Granite,2010-03-28,Sp,1,,324,106,,,,,,,,,,,8.1
Lower Granite,2010-03-29,Sp,,,180,70,,,,,,,,,,,8.1
Lower Granite,2010-03-30,Sp,,,258,95,,,,,,,,,,,8.3
Lower Granite,2010-03-31,Sp,,,174,72,,,,,,,,,,,8.2
