
year,mm-dd,location,parameter,unit,datatype,value
2015,4-6,LWG,outflow,kcfs,Outflow,50.888
2015,4-7,LWG,outflow,kcfs,Outflow,50.350
2015,4-8,LWG,outflow,kcfs,Outflow,48.496
2015,4-9,LWG,outflow,kcfs,Outflow,45.929
2015,4-10,LWG,outflow,kcfs,Outflow,46.588
2015,4-11,LWG,outflow,kcfs,Outflow,45.004
2015,4-12,LWG,outflow,kcfs,Outflow,44.992
2015,4-13,LWG,outflow,kcfs,Outflow,43.017
2015,4-14,LWG,outflow,kcfs,Outflow,43.433
2015,4-15,LWG,outflow,kcfs,Outflow,43.338
2015,4-16,LWG,outflow,kcfs,Outflow,41.617
2015,4-17,LWG,outflow,kcfs,Outflow,42.638
2015,4-18,LWG,outflow,kcfs,Outflow,45.171
2015,4-19,LWG,outflow,kcfs,Outflow,43.108
2015,4-20,LWG,outflow,kcfs,Outflow,47.133
2015,4-21,LWG,outflow,kcfs,Outflow,47.333
2015,4-22,LWG,outflow,kcfs,Outflow,50.442
2015,4-23,LWG,outflow,kcfs,Outflow,56.113
2015,4-24,LWG,outflow,kcfs,Outflow,53.913
2015,4-25,LWG,outflow,kcfs,Outflow,56.033
2015,4-26,LWG,outflow,kcfs,Outflow,53.958
2015,4-27,LWG,outflow,kcfs,Outflow,50.292
2015,4-28,LWG,outflow,kcfs,Outflow,50.004
2015,4-29,LWG,outflow,kcfs,Outflow,47.813
2015,4-30,LWG,outflow,kcfs,Outflow,50.967
2015,5-1,LWG,outflow,kcfs,Outflow,52.504
2015,5-2,LWG,outflow,kcfs,Outflow,54.058
2015,5-3,LWG,outflow,kcfs,Outflow,54.479
2015,5-4,LWG,outflow,kcfs,Outflow,55.658
2015,5-5,LWG,outflow,kcfs,Outflow,62.442
2015,5-6,LWG,outflow,kcfs,Outflow,67.313
2015,5-7,LWG,outflow,kcfs,Outflow,65.704
2015,5-8,LWG,outflow,kcfs,Outflow,65.092
2015,5-9,LWG,outflow,kcfs,Outflow,57.479
2015,5-10,LWG,outflow,kcfs,Outflow,53.267
2015,5-11,LWG,outflow,kcfs,Outflow,51.338
2015,5-12,LWG,outflow,kcfs,Outflow,52.921
2015,5-13,LWG,outflow,kcfs,Outflow,51.204
2015,5-14,LWG,outflow,kcfs,Outflow,57.892
2015,5-15,LWG,outflow,kcfs,Outflow,56.225
2015,5-16,LWG,outflow,kcfs,Outflow,59.538
2015,5-17,LWG,outflow,kcfs,Outflow,71.067
2015,5-18,LWG,outflow,kcfs,Outflow,71.671
2015,5-19,LWG,outflow,kcfs,Outflow,63.646
2015,5-20,LWG,outflow,kcfs,Outflow,64.075
2015,5-21,LWG,outflow,kcfs,Outflow,64.600
2015,5-22,LWG,outflow,kcfs,Outflow,64.325
2015,5-23,LWG,outflow,kcfs,Outflow,64.283
2015,5-24,LWG,outflow,kcfs,Outflow,67.554
2015,5-25,LWG,outflow,kcfs,Outflow,66.250
2015,5-26,LWG,outflow,kcfs,Outflow,63.917
