Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2025-03-01,,,,-2,-3,,,,,,,,,,,
Lower Granite,2025-03-02,,,,94,63,,,,,,,,,,,
Lower Granite,2025-03-03,,,,179,60,,,,,,,,,,,
Lower Granite,2025-03-04,,,,151,55,,,,,,,,,,,
Lower Granite,2025-03-05,,,,134,45,,,,,,,,,,,
Lower Granite,2025-03-06,,,,126,41,,,,,,,,,,,
Lower Granite,2025-03-07,,,,109,47,,,,,,,,,,,
Lower Granite,2025-03-08,,,,118,35,,,,,,,,,,,
Lower Granite,2025-03-09,,,,153,50,,,,,,,,,,,
Lower Granite,2025-03-10,,,,116,53,,,,,,,,,,,
Lower Granite,2025-03-11,,,,68,29,,,,,,,,,,,
Lower Granite,2025-03-12,,,,50,19,,,,,,,,,,,
Lower Granite,2025-03-13,,,,78,26,,,,,,,,,,,
Lower Granite,2025-03-14,,,,113,41,,,,,,,,,,,
Lower Granite,2025-03-15,,,,115,46,,,,,,,,,,,
Lower Granite,2025-03-16,,,,102,40,,,,,,,,,,,
Lower Granite,2025-03-17,Sp,,,87,34,,,,,,,,,,,
Lower Granite,2025-03-18,Sp,,,138,86,,,,,,,,,,,
Lower Granite,2025-03-19,Sp,,,77,41,,,,,,,,,,,
Lower Granite,2025-03-20,Sp,,,84,70,,,,,,,,,,,
Lower Granite,2025-03-21,Sp,,,71,70,,,,,,,,,,,
Lower Granite,2025-03-22,Sp,,,65,23,,,,,,,,,,,
Lower Granite,2025-03-23,Sp,,,62,35,,,,,,,,,,,
Lower Granite,2025-03-24,Sp,,,75,43,,,,,,,,,,,7.2
Lower Granite,2025-03-25,Sp,,,51,29,,,,,,,,,,,7.6
Lower Granite,2025-03-26,Sp,,,89,70,,,,,,,,,,,7.9
Lower Granite,2025-03-27,Sp,,,109,95,,,,,,,,,,,8.2
Lower Granite,2025-03-28,Sp,,,98,94,,,,,,,,,,,8.6
Lower Granite,2025-03-29,Sp,,,69,55,,,,,,,,,,,8.5
Lower Granite,2025-03-30,Sp,,,62,46,,,,,,,,,,,8.2
Lower Granite,2025-03-31,Sp,,,53,38,,,,,,,,,,,8
Lower Granite,2025-04-01,Sp,,,25,9,,,,,,,,,,,7.8
Lower Granite,2025-04-02,Sp,,,33,11,,,,,,,,,,,7.9
Lower Granite,2025-04-03,Sp,,,14,10,,,,,,,,,,,7.8
Lower Granite,2025-04-04,Sp,,,19,16,,,,,,,,,,,7.9
Lower Granite,2025-04-05,Sp,,,28,16,,,,,,,,,,,7.9
Lower Granite,2025-04-06,Sp,,,21,12,,,,,,,,,,,8
Lower Granite,2025-04-07,Sp,,,24,17,,,,,,,,,,,8.5
Lower Granite,2025-04-08,Sp,,,17,9,,,,,,,,,,,8.9
Lower Granite,2025-04-09,Sp,,,11,6,,,,,,,,,,,9.4
Lower Granite,2025-04-10,Sp,,,20,9,,,,,,,,,,,9.7
Lower Granite,2025-04-11,Sp,,1,22,14,,,,,,,,,,,9.8
Lower Granite,2025-04-12,Sp,1,,18,15,,,,,,,,,,,10.1
Lower Granite,2025-04-13,Sp,1,,20,14,,,,,,,,,,,10.2
Lower Granite,2025-04-14,Sp,1,,14,11,,,,,,,,,,,9.9
Lower Granite,2025-04-15,Sp,,,16,12,,,,,,,,,,,9.5
Lower Granite,2025-04-16,Sp,1,,13,11,,,,,,,,,,,9.6
Lower Granite,2025-04-17,Sp,2,2,20,15,,,,,,,,,,,9.8
Lower Granite,2025-04-18,Sp,10,3,25,23,,,,,,,,,,,10
Lower Granite,2025-04-19,Sp,4,1,23,22,,,,,,,,,,,9.9
Lower Granite,2025-04-20,Sp,2,1,24,20,,,,,,,,,,,9.8
Lower Granite,2025-04-21,Sp,10,8,38,35,,,,,,,,,,,9.6
Lower Granite,2025-04-22,Sp,6,3,15,13,,,,,,,,,,,9.5
Lower Granite,2025-04-23,Sp,17,,9,8,,,,,,,,,,,9.7
Lower Granite,2025-04-24,Sp,17,5,20,18,,,,,,,,,,,9.7
Lower Granite,2025-04-25,Sp,23,,13,10,,,,,,,,,,,10.1
Lower Granite,2025-04-26,Sp,28,5,15,14,,,,,,,,,,,10.3
Lower Granite,2025-04-27,Sp,19,2,16,12,,,,,,,,,,,10.6
Lower Granite,2025-04-28,Sp,25,4,13,10,,,,,,,,,,,11.2
Lower Granite,2025-04-29,Sp,39,11,7,7,,,,,,,,,,,11.8
Lower Granite,2025-04-30,Sp,52,12,15,13,,,,,,,,,,,12.2
Lower Granite,2025-05-01,Sp,68,15,14,11,,,,,,,,,,,12
Lower Granite,2025-05-02,Sp,109,21,17,16,,,,,,,,,,,11.5
Lower Granite,2025-05-03,Sp,102,13,10,8,,,,,,,,,,,11.6
Lower Granite,2025-05-04,Sp,200,29,9,9,,,,,,,,,,,11.8
Lower Granite,2025-05-05,Sp,213,31,4,2,,,,,,,,,,,12
Lower Granite,2025-05-06,Sp,376,22,3,2,,,,,,,,,,,11.7
Lower Granite,2025-05-07,Sp,284,55,4,4,,,,,,,,,,,11.1
Lower Granite,2025-05-08,Sp,788,78,4,2,,,,,,,,,,,11
Lower Granite,2025-05-09,Sp,690,61,1,1,,,,,,,,,,,11.5
Lower Granite,2025-05-10,Sp,567,68,3,3,,,,,,,,,,,12.4
