Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,BTrout,Chum,Pink,TempC
Lower Granite,2007-03-01,,,,76,5,,,,,,,,,
Lower Granite,2007-03-02,,,,61,3,,,,,,,,,
Lower Granite,2007-03-03,,,,39,3,,,,,,,,,
Lower Granite,2007-03-04,,,,110,13,,,,,,,,,
Lower Granite,2007-03-05,,,,83,12,,,,,,,,,
Lower Granite,2007-03-06,,,,58,6,,,,,,,,,
Lower Granite,2007-03-07,,,,48,6,,,,,,,,,
Lower Granite,2007-03-08,,,,61,5,,,,,,,,,
Lower Granite,2007-03-09,,,,71,8,,,,,,,,,
Lower Granite,2007-03-10,,,,42,4,,,,,,,,,
Lower Granite,2007-03-11,,,,103,15,,,,,,,,,
Lower Granite,2007-03-12,,,,302,46,,,,,,,,,
Lower Granite,2007-03-13,,,,299,36,,,,,,,,,
Lower Granite,2007-03-14,,,,191,21,,,,,,,,,
Lower Granite,2007-03-15,,,,336,37,,,,,,,,,
Lower Granite,2007-03-16,,,,413,50,,,,,,,,,
Lower Granite,2007-03-17,Sp,,,282,35,,,,,,,,,
Lower Granite,2007-03-18,Sp,,,355,56,,,,,,,,,
Lower Granite,2007-03-19,Sp,,,178,31,,,,,,,,,
Lower Granite,2007-03-20,Sp,,,291,45,,,,,,,,,7.1
Lower Granite,2007-03-21,Sp,,,282,48,,,,,,,,,7.6
Lower Granite,2007-03-22,Sp,,,316,53,,,,,,,,,8.2
Lower Granite,2007-03-23,Sp,,,403,76,,,,,,,,,8.1
Lower Granite,2007-03-24,Sp,,,304,52,,,,,,,,,7.8
Lower Granite,2007-03-25,Sp,,,230,44,,,,,,,,,7.4
Lower Granite,2007-03-26,Sp,,,244,45,,,,,,,,,7.3
Lower Granite,2007-03-27,Sp,1,,186,30,,,,,,,,,7.7
Lower Granite,2007-03-28,Sp,,,381,81,,,,,,,,,7.8
Lower Granite,2007-03-29,Sp,,,305,60,,,,,,,,,7.6
Lower Granite,2007-03-30,Sp,,,472,76,,,,,,,,,7.5
Lower Granite,2007-03-31,Sp,,,372,54,,,,,,,,,7.4
Lower Granite,2007-04-01,Sp,,,409,119,,,,,1,,,,7.4
Lower Granite,2007-04-02,Sp,,,316,100,,,,,,,,,7.6
Lower Granite,2007-04-03,Sp,,,279,91,,,,,,,,,7.8
Lower Granite,2007-04-04,Sp,,,264,89,,,,,,,,,7.9
Lower Granite,2007-04-05,Sp,1,,182,62,,,,,,,,,8.1
Lower Granite,2007-04-06,Sp,,,174,58,,,,,,,,,8.2
Lower Granite,2007-04-07,Sp,,,134,50,,,,,,,,,8.2
Lower Granite,2007-04-08,Sp,,,246,67,,,,,,,,,8.2
Lower Granite,2007-04-09,Sp,,,144,54,,,,,,,,,8.6
Lower Granite,2007-04-10,Sp,,,168,50,,,,,,,,,9.3
Lower Granite,2007-04-11,Sp,,,163,61,,,,,,,,,10.4
Lower Granite,2007-04-12,Sp,,,123,31,,,,,,,,,10.5
Lower Granite,2007-04-13,Sp,1,,127,61,,,,,,,,,10.1
Lower Granite,2007-04-14,Sp,,,119,43,,,,,,,,,9.6
Lower Granite,2007-04-15,Sp,,,67,24,,,,,,,,,9.3
Lower Granite,2007-04-16,Sp,,,87,37,,,,,,,,,9.1
Lower Granite,2007-04-17,Sp,,,80,26,,,,,,,,,9.1
Lower Granite,2007-04-18,Sp,,,50,19,,,,,,,,,9.3
Lower Granite,2007-04-19,Sp,,,63,34,,,,,,,,,9.5
Lower Granite,2007-04-20,Sp,,,48,14,,,,,,,,,9.6
Lower Granite,2007-04-21,Sp,2,,49,26,,,,,,,,,9.4
Lower Granite,2007-04-22,Sp,1,,21,7,,,,,,,,,9.2
Lower Granite,2007-04-23,Sp,12,,24,7,,,,,,,,,9
Lower Granite,2007-04-24,Sp,6,1,22,8,,,,,,,,,9.1
Lower Granite,2007-04-25,Sp,8,1,20,12,,,,,,,,,9.3
Lower Granite,2007-04-26,Sp,22,4,26,12,,,,,,,,,9.5
Lower Granite,2007-04-27,Sp,35,,22,11,,,,,,,,,10.1
Lower Granite,2007-04-28,Sp,73,,15,7,,,,,,,,,10.2
Lower Granite,2007-04-29,Sp,155,,18,11,,,,,,,,,10.4
Lower Granite,2007-04-30,Sp,208,1,17,6,,,,,,,,,10.8
Lower Granite,2007-05-01,Sp,228,6,17,11,,,,,,,,,11.4
Lower Granite,2007-05-02,Sp,347,10,14,7,,,,,,,,,11.6
Lower Granite,2007-05-03,Sp,352,13,10,8,,,,,,,,,11.4
Lower Granite,2007-05-04,Sp,212,8,13,8,,,,,,,,,10.9
Lower Granite,2007-05-05,Sp,724,35,23,19,,,,,,,,,10.3
Lower Granite,2007-05-06,Sp,802,30,16,11,,,,,,,,,9.9
Lower Granite,2007-05-07,Sp,512,44,14,13,,,,,,,,,9.5
Lower Granite,2007-05-08,Sp,654,62,14,10,,,,,,,,,9.6
Lower Granite,2007-05-09,Sp,968,116,10,8,,,,,,,,,9.8
Lower Granite,2007-05-10,Sp,510,113,11,7,,,,,,,,,10.6
Lower Granite,2007-05-11,Sp,808,137,8,7,,,,,,,,,11.9
Lower Granite,2007-05-12,Sp,906,173,11,6,,,,,,,,,12.6
Lower Granite,2007-05-13,Sp,727,233,7,2,,,,,,,,,12.4
Lower Granite,2007-05-14,Sp,528,198,6,6,,,,,,,,,12.1
Lower Granite,2007-05-15,Sp,931,335,9,8,,,,,,,,,12
Lower Granite,2007-05-16,Sp,679,242,4,4,,,,,,,,,11.8
Lower Granite,2007-05-17,Sp,313,337,2,2,,,,,,,,,12
Lower Granite,2007-05-18,Sp,553,488,7,2,,,,,,,,,12.4
Lower Granite,2007-05-19,Sp,391,412,5,5,,,,,1,,,,12.9
Lower Granite,2007-05-20,Sp,455,398,1,,,,,,,,,,13.2
Lower Granite,2007-05-21,Sp,175,378,,,,,,,,,,,13
Lower Granite,2007-05-22,Sp,191,301,1,1,,,,,,,,,12.6
Lower Granite,2007-05-23,Sp,203,419,,,,,,,,,,,12.1
Lower Granite,2007-05-24,Sp,157,334,1,1,,,,,,,,,11.7
Lower Granite,2007-05-25,Sp,277,362,1,1,,,,,,,,,11.5
Lower Granite,2007-05-26,Sp,136,236,2,1,,,,,,,,,11.7
Lower Granite,2007-05-27,Sp,95,203,1,1,,,,1,,,,,12.2
Lower Granite,2007-05-28,Sp,92,152,,,,,,,,,,,12.7
Lower Granite,2007-05-29,Sp,73,154,,,,,,1,,,,,13
Lower Granite,2007-05-30,Sp,107,202,2,2,,,,,,,,,13.1
Lower Granite,2007-05-31,Sp,131,148,1,1,,,,,,,,,12.9
Lower Granite,2007-06-01,Sp,902,274,1,,,,,,,,,,13.1
Lower Granite,2007-06-02,Sp,2566,506,,,,,,1,,,,,13.8
Lower Granite,2007-06-03,Sp,864,258,1,1,,,,,,,,,14.5
Lower Granite,2007-06-04,Sp,350,148,1,,,,,1,,,,,15.2
Lower Granite,2007-06-05,Sp,236,139,,,,,,7,,,,,15.8
Lower Granite,2007-06-06,Sp,193,98,2,,,,,5,,,,,16.3
Lower Granite,2007-06-07,Sp,295,169,5,1,,,,5,,,,,16.3
Lower Granite,2007-06-08,Sp,264,125,2,1,,,,28,,,,,15.8
Lower Granite,2007-06-09,Sp,490,143,1,,,,,16,,,,,14.6
Lower Granite,2007-06-10,Sp,284,101,1,,,,,7,1,,,,13.8
Lower Granite,2007-06-11,Sp,254,116,,,,,,13,,,,,13.6
Lower Granite,2007-06-12,Sp,318,114,6,,,,,37,,,,,13.9
Lower Granite,2007-06-13,Sp,281,101,2,,,,,48,,,,,14.1
Lower Granite,2007-06-14,Sp,308,162,2,,,,,46,,,,,14.3
Lower Granite,2007-06-15,Sp,264,58,1,,,,,66,,,,,15
Lower Granite,2007-06-16,Sp,361,83,9,1,,,,97,,,,,15.1
Lower Granite,2007-06-17,Sp,492,90,5,,,,,62,,,,,15.5
Lower Granite,2007-06-18,Su,421,114,6,1,,,,59,,,,,15.8
Lower Granite,2007-06-19,Su,365,90,15,2,,,,96,,,,,16.2
Lower Granite,2007-06-20,Su,277,67,11,1,,,,178,,,,,16.3
Lower Granite,2007-06-21,Su,260,122,17,1,,,,236,,,,,16.2
Lower Granite,2007-06-22,Su,206,83,5,,,,,204,,,,,16.5
Lower Granite,2007-06-23,Su,208,116,10,,,,,332,,,,,17.2
Lower Granite,2007-06-24,Su,439,169,18,4,,,,259,,,,,18
Lower Granite,2007-06-25,Su,431,169,24,4,,,,389,-1,,,,18.3
Lower Granite,2007-06-26,Su,391,151,26,,2,,,271,1,,,,18.5
Lower Granite,2007-06-27,Su,352,128,24,2,,,,631,,,,,18.6
Lower Granite,2007-06-28,Su,343,107,15,2,1,,,788,,,,,18.5
Lower Granite,2007-06-29,Su,161,100,28,2,1,,,601,,,,,18.3
Lower Granite,2007-06-30,Su,216,101,33,5,4,,,1105,,,,,18.7
Lower Granite,2007-07-01,Su,149,74,35,1,1,,,586,,,,,18.9
Lower Granite,2007-07-02,Su,222,110,32,6,1,,,673,,,,,19
Lower Granite,2007-07-03,Su,176,115,30,1,,,,1006,,,,,19.1
Lower Granite,2007-07-04,Su,196,80,27,4,2,,,883,,,,,19.6
Lower Granite,2007-07-05,Su,90,71,26,4,5,,,1163,,,,,19.9
