Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2018-03-05,,,,3,-1,,,,,,,,,,,
Lower Granite,2018-03-06,,,,33,8,,,,,,,,,,,
Lower Granite,2018-03-07,,,,14,1,,,,,,,,,,,
Lower Granite,2018-03-08,,,,14,7,,,,,,,,,,,
Lower Granite,2018-03-09,,,,16,7,,,,,,,,,,,
Lower Granite,2018-03-10,,,,66,22,,,,,,,,,,,
Lower Granite,2018-03-11,,,,290,52,,,,,,,,,,,
Lower Granite,2018-03-12,,,,139,35,,,,,,,,,,,
Lower Granite,2018-03-13,,,,106,22,,,,,,,,,,,
Lower Granite,2018-03-14,,,,78,7,,,,,,,,,,,
Lower Granite,2018-03-15,,,,63,21,,,,,,,,,,,
Lower Granite,2018-03-16,,,,85,21,,,,,,,,,,,
Lower Granite,2018-03-17,Sp,,,142,14,,,,,,,,,,,
Lower Granite,2018-03-18,Sp,,,141,27,,,,,,,,,,,
Lower Granite,2018-03-19,Sp,,,60,12,,,,,,,,,,,
Lower Granite,2018-03-20,Sp,,,37,10,,,,,,,,,,,
Lower Granite,2018-03-21,Sp,,,17,2,,,,,,,,,,,6
Lower Granite,2018-03-22,Sp,,,46,16,,,,,,,,,,,6.1
Lower Granite,2018-03-23,Sp,,,34,14,,,,,,,,,,,6.2
Lower Granite,2018-03-24,Sp,,,74,16,,,,,,,,,,,6.5
Lower Granite,2018-03-25,Sp,,,37,15,,,,,,,,,,,6.5
Lower Granite,2018-03-26,Sp,,,35,14,,,,,,,,,,,6.5
Lower Granite,2018-03-27,Sp,,,30,8,,,,,,,,,,,6.6
Lower Granite,2018-03-28,Sp,,,23,4,,,,,,,,,,,6.8
Lower Granite,2018-03-29,Sp,,,23,7,,,,,,,,,,,6.9
Lower Granite,2018-03-30,Sp,,,72,19,,,,,,,,,,,7.4
Lower Granite,2018-03-31,Sp,,,99,26,,,,,,,,,,,7.7
Lower Granite,2018-04-01,Sp,,,107,28,,,,,,,,,,,8.1
Lower Granite,2018-04-02,Sp,,,88,20,,,,,,,,,,,8.4
Lower Granite,2018-04-03,Sp,,,202,41,,,,,,,,,,,8.5
Lower Granite,2018-04-04,Sp,,,202,44,,,,,,,,,,,8.4
Lower Granite,2018-04-05,Sp,,,166,44,,,,,,,,,,,8.1
Lower Granite,2018-04-06,Sp,,,206,62,,,,,,,,,,,8.2
Lower Granite,2018-04-07,Sp,,,192,64,,,,,,,,,,,8.6
Lower Granite,2018-04-08,Sp,1,,204,41,,,,,,,,,,,9
Lower Granite,2018-04-09,Sp,,,134,44,,,,,,,,,,,9.2
Lower Granite,2018-04-10,Sp,,,61,11,,,,,,,,,,,8.8
Lower Granite,2018-04-11,Sp,,,125,37,,,,,,,,,,,8.9
Lower Granite,2018-04-12,Sp,,,74,28,,,,,,,,,,,9.2
Lower Granite,2018-04-13,Sp,,,88,17,,,,,,,,,,,9.3
Lower Granite,2018-04-14,Sp,,,64,24,,,,,,,,,,,9.2
Lower Granite,2018-04-15,Sp,,,53,22,,,,,,,,,,,9
Lower Granite,2018-04-16,Sp,1,,52,22,,,,,,,,,,,9.3
Lower Granite,2018-04-17,Sp,,,52,14,,,,,,,,,,,9.5
Lower Granite,2018-04-18,Sp,1,,66,19,,,,,,,,,,,9.4
Lower Granite,2018-04-19,Sp,,,54,29,,,,,,,,,,,9
Lower Granite,2018-04-20,Sp,1,,51,25,,,,,,,,,,,9.1
Lower Granite,2018-04-21,Sp,2,,66,22,,,,,,,,,,,9.7
Lower Granite,2018-04-22,Sp,,,36,17,,,,,,,,,,,10.2
Lower Granite,2018-04-23,Sp,1,2,31,11,,,,,,,,,,,10.5
Lower Granite,2018-04-24,Sp,1,,44,19,,,,,,,,,,,10.6
Lower Granite,2018-04-25,Sp,4,,45,20,,,,,,,,,,,10.6
Lower Granite,2018-04-26,Sp,4,,30,10,,,,,,,,,,,10.9
Lower Granite,2018-04-27,Sp,7,,55,19,,,,,,,,,,,11.2
Lower Granite,2018-04-28,Sp,7,,42,17,,,,,,,,,,,11.4
Lower Granite,2018-04-29,Sp,4,,36,13,,,,,,,,,,,11.2
Lower Granite,2018-04-30,Sp,1,,16,2,,,,,,,,,,,10.4
Lower Granite,2018-05-01,Sp,4,,14,6,,,,,,,,,,,9.7
Lower Granite,2018-05-02,Sp,7,,10,6,,,,,,,,,,,9.6
Lower Granite,2018-05-03,Sp,2,,5,4,,,,,,,,,,,9.6
Lower Granite,2018-05-04,Sp,4,1,13,6,,,,,,,,,,,9.8
Lower Granite,2018-05-05,Sp,10,,3,-1,,,,,,,,,,,10.6
Lower Granite,2018-05-06,Sp,14,,12,5,,,,,,,,,,,11.3
Lower Granite,2018-05-07,Sp,28,,2,,,,,,,,,,,,11.5
Lower Granite,2018-05-08,Sp,46,2,6,5,,,,,,,,,,,11.1
Lower Granite,2018-05-09,Sp,52,4,7,5,,,,,,,,,,,10.6
Lower Granite,2018-05-10,Sp,167,1,7,5,,,,,,,,,,,10.8
Lower Granite,2018-05-11,Sp,119,1,5,4,,,,,,,,,,,10.4
Lower Granite,2018-05-12,Sp,116,1,,,,,,,,,,,,,9.8
Lower Granite,2018-05-13,Sp,167,11,3,2,,,,,,,,,,,9.7
