Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,BTrout,Chum,Pink,TempC
Lower Granite,2006-03-01,,,,41,4,,,,,,,,,3.8
Lower Granite,2006-03-02,,,,26,6,,,,,,,,,3.9
Lower Granite,2006-03-03,,,,102,23,,,,,,,,,4.2
Lower Granite,2006-03-04,,,,282,48,,,,,,,,,4.6
Lower Granite,2006-03-05,,,,412,42,,,,,,,,,4.8
Lower Granite,2006-03-06,,,,136,16,,,,,,,,,4.8
Lower Granite,2006-03-07,,,,135,25,,,,,,,,,4.6
Lower Granite,2006-03-08,,,,77,13,,,,,,,,,4.6
Lower Granite,2006-03-09,,,,101,29,,,,,,,,,4.6
Lower Granite,2006-03-10,,,,28,10,,,,,,,,,4.6
Lower Granite,2006-03-11,,,,102,20,,,,,,,,,4.7
Lower Granite,2006-03-12,,,,104,23,,,,,,,,,4.6
Lower Granite,2006-03-13,,,,60,19,,,,,,,,,4.3
Lower Granite,2006-03-14,,,,24,5,,,,,,,,,4.3
Lower Granite,2006-03-15,,,,28,13,,,,,,,,,4.3
Lower Granite,2006-03-16,,,,43,7,,,,,,,,,4.4
Lower Granite,2006-03-17,Sp,,,30,9,,,,,,,,,4.9
Lower Granite,2006-03-18,Sp,,,135,36,,,,,,,,,5.3
Lower Granite,2006-03-19,Sp,,,163,31,,,,,,,,,5.6
Lower Granite,2006-03-20,Sp,,,39,16,,,,,,,,,5.9
Lower Granite,2006-03-21,Sp,,,75,16,,,,,,,,,6.2
Lower Granite,2006-03-22,Sp,,,67,17,,,,,,,,,6.2
Lower Granite,2006-03-23,Sp,,,102,29,,,,,,,,,6.4
Lower Granite,2006-03-24,Sp,,,129,34,,,,,,,,,6.4
Lower Granite,2006-03-25,Sp,,,130,36,,,,,,,,,6.6
Lower Granite,2006-03-26,Sp,,,112,28,,,,,,,,,6.7
Lower Granite,2006-03-27,Sp,,,91,27,,,,,,,,,6.8
Lower Granite,2006-03-28,Sp,,,129,27,,,,,,,,,7
Lower Granite,2006-03-29,Sp,,,158,31,,,,,,,,,6.9
Lower Granite,2006-03-30,Sp,,,233,57,,,,,,,,,6.8
Lower Granite,2006-03-31,Sp,,,173,24,,,,,,,,,7.1
Lower Granite,2006-04-01,Sp,,,218,84,,,,,,,,,7.2
Lower Granite,2006-04-02,Sp,,,186,55,,,,,,,,,7.3
Lower Granite,2006-04-03,Sp,,,124,36,,,,,,,,,7.6
Lower Granite,2006-04-04,Sp,,,179,53,,,,,,,,,7.3
Lower Granite,2006-04-05,Sp,,,173,64,,,,,,,,,7.4
Lower Granite,2006-04-06,Sp,,,265,92,,,,,,,,,8
