Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2014-03-01,,,,25,6,,,,,,,,,,,
Lower Granite,2014-03-02,,,,59,21,,,,,,,,,,,
Lower Granite,2014-03-03,,,,64,24,,,,,,,,,,,
Lower Granite,2014-03-04,,,,160,42,,,,,,,,,,,
Lower Granite,2014-03-05,,,,116,35,,,,,,,,,,,
Lower Granite,2014-03-06,,,,197,64,,,,,,,,,,,
Lower Granite,2014-03-07,,,,164,47,,,,,,,,,,,
Lower Granite,2014-03-08,,,,256,71,,,,,,,,,,,
Lower Granite,2014-03-09,,,,209,66,,,,,,,,,,,
Lower Granite,2014-03-10,,,,257,73,,,,,,,,,,,
Lower Granite,2014-03-11,,,,190,80,,,,,,,,,,,
Lower Granite,2014-03-12,,,,72,23,,,,,,,,,,,
Lower Granite,2014-03-13,,,,206,81,,,,,,,,,,,
Lower Granite,2014-03-14,,,,216,68,,,,,,,,,,,
Lower Granite,2014-03-15,,,,161,72,,,,,,,,,,,
Lower Granite,2014-03-16,,,,179,75,,,,,,,,,,,
Lower Granite,2014-03-17,Sp,,,156,59,,,,,,,,,,,5.9
Lower Granite,2014-03-18,Sp,,,187,85,,,,,,,,,,,5.9
Lower Granite,2014-03-19,Sp,,,121,51,,,,,,,,,,,6.2
Lower Granite,2014-03-20,Sp,,,215,94,,,,,,,,,,,6.4
Lower Granite,2014-03-21,Sp,,,184,88,,,,,,,,,,,6.3
Lower Granite,2014-03-22,Sp,,,259,112,,,,,,,,,,,6.3
Lower Granite,2014-03-23,Sp,,,262,129,,,,,,,,,,,6.3
Lower Granite,2014-03-24,Sp,,,145,67,,,,,,,,,,,6.4
Lower Granite,2014-03-25,Sp,,,250,99,,,,,,,,,,,6.4
Lower Granite,2014-03-26,Sp,,,173,73,,,,,,,,,,,6.4
Lower Granite,2014-03-27,Sp,,,183,87,,,,,,,,,,,6.6
Lower Granite,2014-03-28,Sp,,,144,65,,,,,,,,,,,6.8
Lower Granite,2014-03-29,Sp,,,265,142,,,,,,,,,,,7
Lower Granite,2014-03-30,Sp,,,186,96,,,,,,,,,,,7.3
Lower Granite,2014-03-31,Sp,,,158,84,,,,,,,,,,,7.3
Lower Granite,2014-04-01,Sp,,,140,73,,,,,,,,,,,7.3
Lower Granite,2014-04-02,Sp,,,91,52,,,,,,,,,,,7.2
Lower Granite,2014-04-03,Sp,,,94,47,,,,,,,,,,,7.2
Lower Granite,2014-04-04,Sp,,,85,56,,,,,,,,,,,7.3
Lower Granite,2014-04-05,Sp,,,99,65,,,,,,,,,,,7.5
Lower Granite,2014-04-06,Sp,1,,120,66,,,,,,,,,,,7.8
Lower Granite,2014-04-07,Sp,,,67,37,,,,,,,,,,,7.9
Lower Granite,2014-04-08,Sp,,,48,37,,,,,,,,,,,8
Lower Granite,2014-04-09,Sp,2,,81,46,,,,,,,,,,,8.3
Lower Granite,2014-04-10,Sp,,,75,47,,,,,,,,,,,8.7
Lower Granite,2014-04-11,Sp,1,,65,43,,,,,,,,,,,9
Lower Granite,2014-04-12,Sp,1,,61,38,,,,,,,,,,,8.9
Lower Granite,2014-04-13,Sp,,,56,34,,,,,,,,,,,8.7
Lower Granite,2014-04-14,Sp,4,,39,28,,,,,,,,,,,8.9
Lower Granite,2014-04-15,Sp,11,,60,38,,,,,,,,,,,8.8
Lower Granite,2014-04-16,Sp,6,,60,42,,,,,,,,,,,8.6
Lower Granite,2014-04-17,Sp,11,,38,22,,,,,,,,,,,8.6
Lower Granite,2014-04-18,Sp,12,,39,25,,,,,,,,,,,8.3
Lower Granite,2014-04-19,Sp,19,,37,26,,,,,,,,,,,8.2
Lower Granite,2014-04-20,Sp,31,,48,31,,,,,,,,,,,8.5
Lower Granite,2014-04-21,Sp,12,,22,10,,,,,,,,,,,9.2
Lower Granite,2014-04-22,Sp,26,1,31,19,,,,,,,,,,,9.5
Lower Granite,2014-04-23,Sp,37,,24,19,,,,,,,,,,,9.5
Lower Granite,2014-04-24,Sp,54,,36,26,,,,,,,,,,,9.5
Lower Granite,2014-04-25,Sp,62,,28,18,,,,,,,,,,,8.9
Lower Granite,2014-04-26,Sp,116,2,25,18,,,,,,,,,,,8.6
Lower Granite,2014-04-27,Sp,116,2,31,19,,,,,,,,,,,8.5
Lower Granite,2014-04-28,Sp,97,2,23,17,,,,,,,,,,,8.5
Lower Granite,2014-04-29,Sp,241,6,22,12,,,,,,,,,,,8.7
Lower Granite,2014-04-30,Sp,271,5,20,14,,,,,,,,,,,8.8
Lower Granite,2014-05-01,Sp,503,8,24,16,,,,,,,,,,,9
Lower Granite,2014-05-02,Sp,366,10,22,14,,,,,,,,,,,9.4
Lower Granite,2014-05-03,Sp,616,13,36,30,,,,,,,,,,,10.1
Lower Granite,2014-05-04,Sp,269,4,24,18,,,,,,,,,,,11.1
Lower Granite,2014-05-05,Sp,1334,16,21,13,,,,,,,,,,,11.4
Lower Granite,2014-05-06,Sp,2993,34,15,10,,,,,,,,,,,11.1
Lower Granite,2014-05-07,Sp,3559,47,16,11,,,,,,,,,,,10.7
Lower Granite,2014-05-08,Sp,2612,26,12,7,,,,,,,,,,,10.3
Lower Granite,2014-05-09,Sp,2592,41,20,14,,,,,,,,,,,10.1
Lower Granite,2014-05-10,Sp,3212,71,16,11,,,,,,,,,,,10.1
Lower Granite,2014-05-11,Sp,3106,104,24,14,,,,,,,,,,,10.4
Lower Granite,2014-05-12,Sp,7408,276,17,13,,,,,,,,,,,10.4
Lower Granite,2014-05-13,Sp,3406,196,17,11,,,,,,,,,,,10.3
Lower Granite,2014-05-14,Sp,2047,155,5,4,,,,,,,,,,,10.1
Lower Granite,2014-05-15,Sp,2525,218,10,4,,,,,,,,,,,10.5
Lower Granite,2014-05-16,Sp,3479,396,15,8,,,,,,,,,,,11
Lower Granite,2014-05-17,Sp,3931,533,11,10,,,,,,,,,,,11.7
Lower Granite,2014-05-18,Sp,3634,596,10,8,,,,,,,,,,,12.1
Lower Granite,2014-05-19,Sp,3126,782,5,4,,,,,,,,,,,11.7
Lower Granite,2014-05-20,Sp,2303,659,9,4,,,,,,,,,,,10.8
Lower Granite,2014-05-21,Sp,1440,613,4,2,,,,,,,,,,,10.5
Lower Granite,2014-05-22,Sp,1882,666,7,5,,,,,,,,,,,11
Lower Granite,2014-05-23,Sp,2160,714,8,4,,,,,,,,,,,11.4
Lower Granite,2014-05-24,Sp,776,476,11,4,,,,,,,,,,,11.9
Lower Granite,2014-05-25,Sp,589,379,1,1,,,,,,,,,,,11.8
Lower Granite,2014-05-26,Sp,768,409,3,2,,,,,,,,,,,11.6
Lower Granite,2014-05-27,Sp,590,324,4,4,,,,,,,,,,,11.5
Lower Granite,2014-05-28,Sp,880,342,2,,,,,,,,,,,,11.6
Lower Granite,2014-05-29,Sp,564,299,2,1,,,,,,,,,,,11.4
Lower Granite,2014-05-30,Sp,954,282,2,,,,,,,,,,,,11.2
Lower Granite,2014-05-31,Sp,1349,445,8,2,,,,,,,,,,,11.7
Lower Granite,2014-06-01,Sp,1042,386,7,2,,,,,,,,,,,12.2
Lower Granite,2014-06-02,Sp,624,209,8,4,,,,,,,,,,,12.4
Lower Granite,2014-06-03,Sp,737,294,2,,,,,,,,,,,,12.7
Lower Granite,2014-06-04,Sp,500,266,5,,,,,,,,,,,,12.8
Lower Granite,2014-06-05,Sp,875,335,10,,,,,,,,,,,,12.8
Lower Granite,2014-06-06,Sp,721,234,1,,,,,,,,,,,,13.1
Lower Granite,2014-06-07,Sp,1050,250,12,,,,,,1,,1,,,,13.3
Lower Granite,2014-06-08,Sp,985,318,10,4,,,,,,,,,,,13.3
Lower Granite,2014-06-09,Sp,1187,400,9,2,,,,,,,,,,,13.4
Lower Granite,2014-06-10,Sp,869,373,12,4,,,,,,,,,,,13.6
Lower Granite,2014-06-11,Sp,856,251,6,,,,,,,,,,,,14
Lower Granite,2014-06-12,Sp,946,294,11,1,,,,,,,,,,,14.2
Lower Granite,2014-06-13,Sp,386,164,12,2,,,,,,,,,,,14
Lower Granite,2014-06-14,Sp,323,145,6,1,,,,,,,,,,,14.1
Lower Granite,2014-06-15,Sp,316,131,4,,,,,,,,,,,,14
Lower Granite,2014-06-16,Sp,668,265,8,2,,,,,,,,,,,13.7
Lower Granite,2014-06-17,Sp,978,265,10,4,,,,1,,,,,,,13
Lower Granite,2014-06-18,Su,944,238,6,,,,,,,,,,,,12.8
Lower Granite,2014-06-19,Su,763,230,6,,,,,,,,,,,,12.8
Lower Granite,2014-06-20,Su,377,133,9,2,,,,,,,,,,,12.6
Lower Granite,2014-06-21,Su,148,104,5,1,,,,,,,,,,,13.1
Lower Granite,2014-06-22,Su,457,198,14,6,6,,,2,,,,,,,14
Lower Granite,2014-06-23,Su,961,394,17,4,1,,,2,,,,,,,15
Lower Granite,2014-06-24,Su,749,275,19,2,,,,1,,,,,,,15.2
Lower Granite,2014-06-25,Su,348,186,17,5,4,,,,,,,,,,16
