Project,Date,Chinook Run,Chin,JChin,Stlhd,WStlhd,Sock,Coho,JCoho,Shad,LmpryDay,LmpryNight,LmpryCombined,BTrout,Chum,Pink,TempC
Lower Granite,2012-03-01,,,,84,34,,,,,,,,,,,4.1
Lower Granite,2012-03-02,,,,70,30,,,,,,,,,,,4.1
Lower Granite,2012-03-03,,,,115,35,,,,,,,,,,,4.1
Lower Granite,2012-03-04,,,,129,51,,,,,,,,,,,4.1
Lower Granite,2012-03-05,,,,60,18,,,,,,,,,,,4.5
Lower Granite,2012-03-06,,,,33,8,,,,,,,,,,,4.6
Lower Granite,2012-03-07,,,,20,5,,,,,,,,,,,4.5
Lower Granite,2012-03-08,,,,37,12,,,,,,,,,,,4.7
Lower Granite,2012-03-09,,,,51,16,,,,,,,,,,,5
Lower Granite,2012-03-10,,,,66,25,,,,,,,,,,,5.3
Lower Granite,2012-03-11,,,,210,81,,,,,,,,,,,5.3
Lower Granite,2012-03-12,,,,71,33,,,,,,,,,,,5.1
Lower Granite,2012-03-13,,,,91,37,,,,,,,,,,,5.3
Lower Granite,2012-03-14,,,,86,34,,,,,,,,,,,5.7
Lower Granite,2012-03-15,,,,132,58,,,,,,,,,,,6.1
Lower Granite,2012-03-16,,,,154,68,,,,,,,,,,,5.9
Lower Granite,2012-03-17,Sp,,,96,34,,,,,,,,,,,6.1
Lower Granite,2012-03-18,Sp,,,247,85,,,,,,,,,,,6.3
Lower Granite,2012-03-19,Sp,,,290,69,,,,,,,,,,,6.2
Lower Granite,2012-03-20,Sp,,,227,40,,,,,,,,,,,6.1
Lower Granite,2012-03-21,Sp,,,169,35,,,,,,,,,,,5.8
Lower Granite,2012-03-22,Sp,,,192,44,,,,,,,,,,,5.8
Lower Granite,2012-03-23,Sp,,,182,36,,,,,,,,,,,5.8
Lower Granite,2012-03-24,Sp,,,205,43,,,,,,,,,,,5.8
Lower Granite,2012-03-25,Sp,,,200,96,,,,,,,,,,,6.1
Lower Granite,2012-03-26,Sp,,,121,42,,,,,,,,,,,6.4
Lower Granite,2012-03-27,Sp,,,205,76,,,,,,,,,,,6.9
Lower Granite,2012-03-28,Sp,,,204,43,,,,,,,,,,,7.4
Lower Granite,2012-03-29,Sp,,,199,29,,,,,,,,,,,7.3
Lower Granite,2012-03-30,Sp,,,300,101,,,,,,,,,,,7.5
Lower Granite,2012-03-31,Sp,,,205,96,,,,,,,,,,,7.6
Lower Granite,2012-04-01,Sp,,,316,173,,,,,,,,,,,7.8
Lower Granite,2012-04-02,Sp,,,328,160,,,,,,,,,,,7.8
Lower Granite,2012-04-03,Sp,,,216,120,,,,,,,,,,,7.5
Lower Granite,2012-04-04,Sp,,,238,110,,,,,,,,,,,7.3
Lower Granite,2012-04-05,Sp,,,172,82,,,,,,,,,,,7.3
Lower Granite,2012-04-06,Sp,,,145,68,,,,,,,,,,,7.3
Lower Granite,2012-04-07,Sp,,,157,85,,,,,,,,,,,7.3
Lower Granite,2012-04-08,Sp,,,180,84,,,,,,,,,,,7.4
Lower Granite,2012-04-09,Sp,,,179,95,,,,,,,,,,,7.7
Lower Granite,2012-04-10,Sp,,,117,61,,,,,,,,,,,8
Lower Granite,2012-04-11,Sp,,,141,82,,,,,,,,,,,8.4
Lower Granite,2012-04-12,Sp,,,121,56,,,,,,,,,,,8.9
Lower Granite,2012-04-13,Sp,,,138,74,,,,,,,,,,,9.2
Lower Granite,2012-04-14,Sp,,,153,85,,,,,,,,,,,9.2
Lower Granite,2012-04-15,Sp,1,,152,72,,,,,,,,,,,9.1
Lower Granite,2012-04-16,Sp,,,93,50,,,,,,,,,,,9.1
Lower Granite,2012-04-17,Sp,,,102,53,,,,,,,,,,,9
Lower Granite,2012-04-18,Sp,,,58,36,,,,,,,,,,,8.6
Lower Granite,2012-04-19,Sp,,,101,55,,,,,,,,,,,8.6
Lower Granite,2012-04-20,Sp,,,85,44,,,,,,,,,,,9.1
Lower Granite,2012-04-21,Sp,,,79,55,,,,,,,,,,,9.2
Lower Granite,2012-04-22,Sp,,,82,52,,,,,,,,,,,9.8
Lower Granite,2012-04-23,Sp,1,,88,48,,,,,,,,,,,10.4
Lower Granite,2012-04-24,Sp,4,,78,48,,,,,,,,,,,10.8
Lower Granite,2012-04-25,Sp,4,,72,46,,,,,,,,,,,11
Lower Granite,2012-04-26,Sp,6,,69,49,,,,,,,,,,,10.3
Lower Granite,2012-04-27,Sp,2,,46,34,,,,,,,,,,,9.7
Lower Granite,2012-04-28,Sp,1,,54,32,,,,,,,,,,,9
Lower Granite,2012-04-29,Sp,6,,43,36,,,,,,,,,,,8.6
Lower Granite,2012-04-30,Sp,11,,60,38,,,,,,,,,,,8.7
Lower Granite,2012-05-01,Sp,22,,64,50,,,,,,,,,,,9.3
Lower Granite,2012-05-02,Sp,35,,58,34,,,,,,,,,,,9.6
Lower Granite,2012-05-03,Sp,36,1,55,35,,,,,,,,,,,9.8
Lower Granite,2012-05-04,Sp,82,2,36,26,,,,,,,,,,,10
Lower Granite,2012-05-05,Sp,120,2,27,20,,,,,,,,,,,10
Lower Granite,2012-05-06,Sp,187,5,34,23,,,,,,,,,,,10.2
Lower Granite,2012-05-07,Sp,197,6,29,22,,,,,,,,,,,10.5
Lower Granite,2012-05-08,Sp,281,26,33,25,,,,,,,,,,,10.9
Lower Granite,2012-05-09,Sp,330,17,26,13,,,,,,,,,,,11.2
Lower Granite,2012-05-10,Sp,220,11,23,17,,,,,,,,,,,11.3
Lower Granite,2012-05-11,Sp,316,14,25,14,,,,,,,,,,,11.7
Lower Granite,2012-05-12,Sp,446,19,24,20,,,,,,,,,,,11.8
Lower Granite,2012-05-13,Sp,372,24,23,19,,,,,,,,,,,11.6
Lower Granite,2012-05-14,Sp,277,11,13,12,,,,,,,,,,,11.5
Lower Granite,2012-05-15,Sp,619,50,24,16,,,,,,,,,,,11.8
Lower Granite,2012-05-16,Sp,1687,32,12,10,,,,,,,,,,,12.3
Lower Granite,2012-05-17,Sp,1609,41,14,10,,,,,,,,,,,12.5
Lower Granite,2012-05-18,Sp,3172,65,10,8,,,,,,,,,,,12.2
Lower Granite,2012-05-19,Sp,8425,161,14,7,,,,,,,,,,,11.6
Lower Granite,2012-05-20,Sp,6402,181,18,17,,,,,,,,,,,11.2
Lower Granite,2012-05-21,Sp,3673,118,11,10,,,,,,,,,,,11.4
Lower Granite,2012-05-22,Sp,4418,215,6,4,,,,,,,,,,,11.5
Lower Granite,2012-05-23,Sp,3727,203,4,4,,,,,,,,,,,11.4
Lower Granite,2012-05-24,Sp,3750,290,8,6,,,,,,,,,,,11.1
Lower Granite,2012-05-25,Sp,2902,179,1,1,,,,,,,,,,,10.9
Lower Granite,2012-05-26,Sp,2036,180,4,4,,,,,,,,,,,11.1
Lower Granite,2012-05-27,Sp,965,100,4,4,,,,,,,,,,,11.2
Lower Granite,2012-05-28,Sp,1385,113,3,2,,,,,,,,,,,11
Lower Granite,2012-05-29,Sp,992,112,5,4,,,,,,,,,,,11.1
Lower Granite,2012-05-30,Sp,1350,115,4,4,,,,,,,,,,,11.1
Lower Granite,2012-05-31,Sp,1111,112,1,1,,,,,,,,,,,11.6
Lower Granite,2012-06-01,Sp,1584,133,1,1,,,,,,,,,,,12.1
Lower Granite,2012-06-02,Sp,898,95,1,1,,,,,,,,,,,12.8
Lower Granite,2012-06-03,Sp,1130,113,,,,,,,,,,,,,13.4
Lower Granite,2012-06-04,Sp,574,66,1,,,,,,,,,,,,13.8
Lower Granite,2012-06-05,Sp,829,80,2,1,,,,,,,,,,,13
Lower Granite,2012-06-06,Sp,724,72,,,,,,,,,,,,,12.6
Lower Granite,2012-06-07,Sp,449,31,,,,,,,,,,,,,12.2
Lower Granite,2012-06-08,Sp,628,30,,,,,,,,,,,,,11.6
Lower Granite,2012-06-09,Sp,858,53,2,1,,,,,,,,,,,11.2
Lower Granite,2012-06-10,Sp,468,22,2,1,,,,,,,,,,,11.1
Lower Granite,2012-06-11,Sp,484,32,1,1,,,,,,,,,,,11.3
Lower Granite,2012-06-12,Sp,1548,70,2,,,,,,,,,,,,11.6
Lower Granite,2012-06-13,Sp,1410,94,,,,,,,,,,,,,12
Lower Granite,2012-06-14,Sp,485,44,4,,,,,,,,,,,,12.5
Lower Granite,2012-06-15,Sp,881,50,2,,,,,,,,,,,,13.2
Lower Granite,2012-06-16,Sp,1427,70,1,,,,,,,,,,,,13.8
Lower Granite,2012-06-17,Sp,809,65,6,1,,,,,,,,,,,14
Lower Granite,2012-06-18,Su,532,44,5,,,,,,,,,,,,14.2
Lower Granite,2012-06-19,Su,490,49,6,1,,,,,,,,,,,14.6
Lower Granite,2012-06-20,Su,703,66,2,,,,,,,,,,,,14.5
Lower Granite,2012-06-21,Su,1093,83,1,1,,,,,,,,,,,13.9
Lower Granite,2012-06-22,Su,685,72,2,1,,,,,,,,,,,13.6
Lower Granite,2012-06-23,Su,354,41,11,6,,,,2,,,,,,,14.3
Lower Granite,2012-06-24,Su,419,78,2,2,1,,,,,,,,,,15.1
Lower Granite,2012-06-25,Su,425,74,4,,,,,7,,1,1,,,,15.7
Lower Granite,2012-06-26,Su,910,86,6,1,,,,6,,,,,,,16.1
Lower Granite,2012-06-27,Su,438,44,9,1,2,,,6,,,,,,,16.3
Lower Granite,2012-06-28,Su,893,54,10,5,2,,,7,,,,,,,16.2
Lower Granite,2012-06-29,Su,379,46,7,2,4,,,6,,,,,,,15.6
Lower Granite,2012-06-30,Su,335,44,18,6,6,,,28,,,,,,,15.9
Lower Granite,2012-07-01,Su,200,41,16,5,6,,,5,,,,,,,16.3
Lower Granite,2012-07-02,Su,118,30,20,8,4,,,16,,,,,,,16.9
Lower Granite,2012-07-03,Su,439,46,19,5,4,,,5,,,,,,,17.1
Lower Granite,2012-07-04,Su,476,66,12,5,6,,,13,,,,,,,17.2
Lower Granite,2012-07-05,Su,295,49,25,11,11,,,10,,,,,,,17.2
Lower Granite,2012-07-06,Su,133,30,29,12,13,,,48,1,,1,,,,17.4
Lower Granite,2012-07-07,Su,118,37,20,8,20,,,94,,1,1,,,,17.5
Lower Granite,2012-07-08,Su,157,32,18,11,18,,,206,,,,,,,17.9
Lower Granite,2012-07-09,Su,191,13,25,6,18,,,119,,,,,,,18.6
Lower Granite,2012-07-10,Su,456,43,24,13,32,,,389,,,,,,,19.2
Lower Granite,2012-07-11,Su,209,18,21,11,7,,,451,,1,1,,,,19.4
Lower Granite,2012-07-12,Su,124,25,28,11,16,,,263,,,,,,,19.3
Lower Granite,2012-07-13,Su,103,11,17,6,16,,,235,,,,,,,19.3
Lower Granite,2012-07-14,Su,73,14,30,14,16,,,334,,,,,,,19.5
Lower Granite,2012-07-15,Su,85,12,31,11,18,,,331,,,,,,,19.7
Lower Granite,2012-07-16,Su,124,44,66,20,16,,,508,,,,,,,19.7
Lower Granite,2012-07-17,Su,58,25,52,17,14,,,406,,,,,,,19.5
